"Label (Grouping)","St. Joseph County, Indiana!!Total!!Estimate","St. Joseph County, Indiana!!Male!!Estimate","St. Joseph County, Indiana!!Female!!Estimate","ZCTA5 46506!!Total!!Estimate","ZCTA5 46506!!Male!!Estimate","ZCTA5 46506!!Female!!Estimate","ZCTA5 46530!!Total!!Estimate","ZCTA5 46530!!Male!!Estimate","ZCTA5 46530!!Female!!Estimate","ZCTA5 46536!!Total!!Estimate","ZCTA5 46536!!Male!!Estimate","ZCTA5 46536!!Female!!Estimate","ZCTA5 46544!!Total!!Estimate","ZCTA5 46544!!Male!!Estimate","ZCTA5 46544!!Female!!Estimate","ZCTA5 46545!!Total!!Estimate","ZCTA5 46545!!Male!!Estimate","ZCTA5 46545!!Female!!Estimate","ZCTA5 46550!!Total!!Estimate","ZCTA5 46550!!Male!!Estimate","ZCTA5 46550!!Female!!Estimate","ZCTA5 46552!!Total!!Estimate","ZCTA5 46552!!Male!!Estimate","ZCTA5 46552!!Female!!Estimate","ZCTA5 46554!!Total!!Estimate","ZCTA5 46554!!Male!!Estimate","ZCTA5 46554!!Female!!Estimate","ZCTA5 46556!!Total!!Estimate","ZCTA5 46556!!Male!!Estimate","ZCTA5 46556!!Female!!Estimate","ZCTA5 46561!!Total!!Estimate","ZCTA5 46561!!Male!!Estimate","ZCTA5 46561!!Female!!Estimate","ZCTA5 46563!!Total!!Estimate","ZCTA5 46563!!Male!!Estimate","ZCTA5 46563!!Female!!Estimate","ZCTA5 46573!!Total!!Estimate","ZCTA5 46573!!Male!!Estimate","ZCTA5 46573!!Female!!Estimate","ZCTA5 46574!!Total!!Estimate","ZCTA5 46574!!Male!!Estimate","ZCTA5 46574!!Female!!Estimate","ZCTA5 46595!!Total!!Estimate","ZCTA5 46595!!Male!!Estimate","ZCTA5 46595!!Female!!Estimate","ZCTA5 46601!!Total!!Estimate","ZCTA5 46601!!Male!!Estimate","ZCTA5 46601!!Female!!Estimate","ZCTA5 46613!!Total!!Estimate","ZCTA5 46613!!Male!!Estimate","ZCTA5 46613!!Female!!Estimate","ZCTA5 46614!!Total!!Estimate","ZCTA5 46614!!Male!!Estimate","ZCTA5 46614!!Female!!Estimate","ZCTA5 46615!!Total!!Estimate","ZCTA5 46615!!Male!!Estimate","ZCTA5 46615!!Female!!Estimate","ZCTA5 46616!!Total!!Estimate","ZCTA5 46616!!Male!!Estimate","ZCTA5 46616!!Female!!Estimate","ZCTA5 46617!!Total!!Estimate","ZCTA5 46617!!Male!!Estimate","ZCTA5 46617!!Female!!Estimate","ZCTA5 46619!!Total!!Estimate","ZCTA5 46619!!Male!!Estimate","ZCTA5 46619!!Female!!Estimate","ZCTA5 46624!!Total!!Estimate","ZCTA5 46624!!Male!!Estimate","ZCTA5 46624!!Female!!Estimate","ZCTA5 46628!!Total!!Estimate","ZCTA5 46628!!Male!!Estimate","ZCTA5 46628!!Female!!Estimate","ZCTA5 46635!!Total!!Estimate","ZCTA5 46635!!Male!!Estimate","ZCTA5 46635!!Female!!Estimate","ZCTA5 46637!!Total!!Estimate","ZCTA5 46637!!Male!!Estimate","ZCTA5 46637!!Female!!Estimate"
"    Less than high school graduate","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","43,401","51,874","35,489","46,271","59,384","38,494","61,753","85,222","46,386","51,390","68,254","34,688","41,625","47,340","35,012","39,237","46,751","34,265","44,454","59,514","36,989","54,293","68,750","40,573","55,477","56,815","47,241","24,167","27,188","2,500-","46,740","58,528","34,286","46,434","52,976","38,247","54,462","66,350","36,382","45,133","60,377","35,780","-","-","-","27,705","35,170","18,269","29,199","33,389","26,058","46,766","54,458","39,715","41,874","47,917","36,115","35,049","40,906","30,536","46,494","52,690","41,377","31,891","36,991","29,243","-","-","-","41,718","51,438","31,667","47,037","50,234","42,725","45,659","56,035","35,525"
"        Less than high school graduate","28,431","32,554","24,167","34,290","34,321","34,125","56,369","57,746","36,250","-","-","6,667","36,726","43,333","28,607","31,506","30,481","33,712","33,634","47,461","18,323","-","-","-","34,063","34,188","-","-","-","-","-","80,192","-","36,912","35,018","41,865","44,879","54,539","40,400","40,263","56,023","28,875","-","-","-","14,705","23,810","-","23,817","23,636","23,934","31,741","31,611","32,841","30,444","33,418","14,693","20,288","23,750","16,484","-","26,250","9,236","27,450","29,770","26,410","-","-","-","27,460","34,148","20,347","-","39,219","-","45,724","63,088","23,068"
"        High school graduate (includes equivalency)","35,439","44,936","27,320","45,855","53,333","35,417","46,611","51,147","35,625","46,125","50,505","39,808","35,697","40,568","28,056","33,987","37,397","28,963","40,802","58,189","37,756","51,250","62,596","24,515","55,621","56,655","52,656","35,446","35,357","-","40,469","53,500","24,764","45,680","55,103","29,614","45,000","67,426","32,926","39,420","55,179","26,458","-","-","-","29,500","36,125","-","26,199","29,277","20,270","40,144","47,697","29,866","32,782","49,676","23,038","37,961","36,250","38,690","24,407","24,194","27,868","31,373","35,625","26,940","-","-","-","33,941","46,435","25,875","46,136","55,801","-","34,778","45,677","25,396"
"        Some college or associate's degree","40,901","51,189","33,550","43,802","68,245","23,764","45,931","64,000","32,546","51,979","68,722","-","41,104","51,164","34,533","38,562","47,798","34,306","53,761","80,464","39,783","51,042","71,603","40,000","46,094","56,500","33,125","-","-","-","45,053","59,093","34,574","48,495","57,856","38,281","49,449","77,321","33,902","46,652","66,458","36,756","-","-","-","25,481","30,446","14,274","36,274","39,081","30,733","42,500","49,298","37,609","45,993","47,596","43,807","24,896","35,714","16,735","42,045","46,898","40,743","32,966","51,069","28,900","-","-","-","40,832","50,091","31,453","43,682","49,879","38,750","39,607","48,419","34,079"
"        Bachelor's degree","51,191","64,026","43,238","53,264","85,303","46,075","68,409","92,695","45,237","84,444","105,000","80,294","45,656","50,673","40,942","45,991","56,053","38,438","52,432","76,250","51,518","58,152","69,605","50,313","59,679","61,528","59,038","-","-","-","55,847","60,426","53,634","49,510","56,027","47,212","59,786","66,705","53,125","43,319","60,000","39,564","-","-","-","38,043","36,000","43,750","44,315","44,167","44,427","51,607","60,781","38,688","50,929","53,625","42,625","46,705","61,705","40,417","44,880","51,994","40,417","41,150","37,986","41,856","-","-","-","53,208","67,929","43,188","45,608","45,658","45,556","66,181","70,833","46,914"
"        Graduate or professional degree","70,582","85,742","59,452","-","-","-","97,125","128,056","70,959","70,543","71,314","49,625","68,977","57,264","70,464","61,012","73,611","43,750","61,328","62,005","-","77,368","80,250","77,054","85,357","85,455","85,250","30,984","31,250","2,500-","54,676","81,488","54,169","54,620","94,097","48,750","64,648","63,527","77,250","98,292","105,913","91,250","-","-","-","58,036","78,523","52,917","-","-","66,528","79,099","100,078","71,136","58,100","73,281","45,833","56,331","56,532","54,554","72,500","82,125","61,438","64,643","-","63,839","-","-","-","54,854","85,962","52,527","76,007","75,625","76,154","53,140","72,875","47,995"
